Latitude,Longitude,Location
19.11748,72.84804,AGARKAR CHOWK (ANDHERI-E)
19.11745,72.84804,AGARKAR CHOWK (ANDHERI-E)
19.11859,72.84828,AGARKAR CHOWK (ANDHERI-E)
19.11966,72.84781,AGARKAR CHOWK (ANDHERI-E)
19.11884,72.84832,AGARKAR CHOWK (ANDHERI-E)
19.12001,72.8479,AGARKAR CHOWK (ANDHERI-E)
19.10787,72.8971,AMRUT SHAKTI
19.11261,72.89657,ASHIRWAD SOCIETY
19.11091,72.85392,BAHAR CINEMA
19.12294,72.88689,BAMANDAYA PADA
19.10461,72.85886,BAMAN PADA (CHAKALA)
19.11423,72.86176,BELA NIVAS
19.1118,72.90095,BEST QUARRIES (CHANDIVALI)
19.11703,72.88157,BLOSSOM COMPANY
19.12281,72.87212,C-CROSS ROAD (SEEPZ )
19.1132,72.85895,CHAKALA
19.11541,72.85742,CHAKALA
19.1148,72.86093,CHAKALA
19.10747,72.85886,CHAKALA CIGARETTE FACTORY
19.11423,72.89884,CHANDIVALI VILLAGE
19.10066,72.87463,CHHATRAPATI SHIVAJI INTERNATIONAL AIRPORT (SAHAR)
19.11698,72.85547,DARPAN CINEMA SAI SERVICE
19.11492,72.85468,DARPAN CINEMA SAI SERVICE
